Wall time,Step,Value
1695901021,42,-1.869818211
1695901021,45,-2.356466532
1695901021,71,-3.017309189
1695901021,94,-2.55900836
1695901027,167,-2.17716074
1695901032,229,-1.670323491
1695901033,234,-0.554444849
1695901035,255,0.894887626
1695901037,273,-2.687609911
1695901040,308,-2.863569021
1695901040,310,-2.185787678
1695901041,318,-0.119495332
1695901061,474,-1.696959376
1695901070,536,-0.06786494
1695901076,579,-1.922207713
1695901078,586,0.118671589
1695901086,634,0.03893457
1695901088,647,-1.115343809
1695901102,714,0.437772632
1695901104,722,-0.728404224
1695901126,802,0.61581856
1695901127,808,-1.551191568
1695901134,836,-1.401995897
1695901172,971,-0.77636528
1695901183,1014,-0.006855454
1695901196,1066,-1.921500564
1695901206,1104,1.358355165
1695901226,1180,0.738696337
1695901247,1261,1.19383502
1695901262,1316,-0.265409231
1695901263,1319,-1.748103142
1695901266,1333,-0.56935966
1695901267,1337,-2.978399038
1695901280,1385,1.041080475
1695901282,1392,-1.382494926
1695901293,1436,-0.518368244
1695901301,1466,-1.164006233
1695901323,1552,-2.94271636
1695901331,1584,-2.914616346
1695901359,1691,3.297685623
1695901369,1734,-1.786845088
1695901369,1737,3.189182043
1695901397,1844,-1.275835991
1695901406,1877,-2.544403315
1695901416,1917,-2.974383116
1695901424,1947,-0.410182536
1695901446,2036,-0.175080344
1695901462,2096,-1.506929994
1695901483,2187,-0.684256494
1695901486,2199,-1.989779592
1695901494,2231,-0.131594375
1695901501,2262,-1.733214021
1695901511,2307,2.988328695
1695901531,2389,-0.462742329
1695901542,2436,-0.202475145
1695901546,2453,0.24759005
1695901547,2455,1.91053021
1695901548,2460,1.637613535
1695901554,2485,-1.188306212
1695901554,2486,0.505408645
1695901557,2498,2.087801218
1695901558,2503,0.454714566
1695901565,2532,-1.552719474
1695901606,2685,0.546970785
1695901622,2740,-0.441222459
1695901684,2967,1.910934567
1695901703,3038,0.940293312
1695901704,3041,-2.279015303
1695901733,3161,0.797031164
1695901750,3230,3.50808239
1695901754,3246,2.618723392
1695901755,3247,1.399673939
1695901769,3305,1.251287937
1695901805,3480,2.281686068
1695901838,3618,1.084484935
1695901838,3620,-2.064920664
1695901849,3670,1.117932796
1695901864,3741,-1.824976802
1695901880,3814,3.37646389
1695901882,3821,2.790178061
1695901904,3928,-1.606301308
1695901910,3956,3.454566479
1695901926,4036,-0.249767721
1695901940,4098,0.068578534
1695901960,4196,1.491125226
1695901969,4232,1.070836663
1695901987,4317,1.962823987
1695902005,4400,-0.888881207
1695902023,4492,2.722252607
1695902027,4509,1.913898706
1695902032,4530,3.432158709
1695902060,4664,3.268075943
1695902061,4668,1.928792
1695902063,4676,0.283777654
1695902087,4788,-0.245270744
1695902090,4802,0.478303283
1695902100,4840,2.629880905
1695902111,4894,1.407241225
1695902129,4971,0.108338282
1695902149,5050,2.936923027
1695902150,5052,1.233984351
1695902164,5106,1.421331882
1695902172,5134,2.479383707
1695902224,5345,2.234683752
1695902227,5359,1.775501966
1695902241,5420,0.298071206
1695902272,5549,0.901685059
1695902302,5679,1.047949433
1695902314,5723,2.776114941
1695902334,5808,2.926674843
1695902348,5864,2.245462894
1695902349,5871,-0.596250296
1695902357,5907,0.944506645
1695902376,5990,1.354326725
1695902409,6131,1.917582273
1695902426,6200,-1.895272255
1695902430,6219,2.034648895
1695902446,6289,0.281811178
1695902452,6312,1.31768167
1695902467,6376,2.902495146
1695902502,6520,2.000116825
1695902514,6574,1.501165271
1695902521,6603,3.239318371
1695902544,6696,-2.162901402
1695902544,6699,1.734361172
1695902547,6711,1.708743453
1695902579,6854,2.854371548
1695902605,6966,1.380792618
1695902612,6992,1.290035129
1695902641,7114,1.637073159
1695902651,7155,1.325687885
1695902688,7311,2.780200243
1695902705,7382,2.343461275
1695902724,7450,0.049974341
1695902726,7460,2.686619997
1695902727,7463,1.855363369
1695902731,7478,0.09740258
1695902739,7511,1.839436054
1695902782,7693,-0.508376777
1695902804,7788,3.271748304
1695902806,7798,-0.827924192
1695902815,7833,2.078013897
1695902852,7991,2.113503933
1695902869,8066,3.272438049
1695902895,8180,2.725068808
1695902905,8221,3.32384181
1695902943,8363,3.453543901
1695902944,8368,1.107631087
1695902946,8377,3.404796124
1695902968,8470,3.156365395
1695902975,8498,1.443642735
1695902977,8508,3.608745813
1695902998,8601,3.149826288
1695903006,8635,3.454515696
1695903021,8695,3.480804205
1695903066,8878,0.066462137
1695903074,8907,2.877244949
1695903079,8928,2.047313929
1695903080,8935,2.928060532
1695903094,8993,1.268440604
1695903110,9055,-0.12695694
1695903160,9260,1.464359164
1695903174,9316,1.854893804
1695903182,9348,2.097040653
1695903204,9435,0.504229128
1695903212,9468,-0.980815351
1695903232,9554,2.803195715
1695903235,9567,2.176189661
1695903257,9657,2.299572706
1695903263,9680,2.758950949
1695903268,9698,0.480959624
1695903303,9843,2.745267868
1695903319,9907,3.425087929
1695903356,10058,1.572783947
