Wall time,Step,Value
1695901021,42,0
1695901021,45,0.2
1695901021,71,0.2
1695901021,94,0
1695901027,167,0.666666687
1695901032,229,0.2
1695901033,234,0.2
1695901035,255,0.2
1695901037,273,0.2
1695901040,308,0.25
1695901040,310,0.75
1695901041,318,0.75
1695901061,474,0.2
1695901070,536,0.25
1695901076,579,0.333333
1695901078,586,0.600000024
1695901086,634,0.600000024
1695901088,647,0.800000012
1695901102,714,0.5
1695901104,722,0.25
1695901126,802,0.200000003
1695901127,808,0.25
1695901134,836,0.5
1695901172,971,0
1695901183,1014,0.25
1695901196,1066,0
1695901206,1104,0.5
1695901226,1180,0.400000006
1695901247,1261,0.666666687
1695901262,1316,0.400000006
1695901263,1319,0
1695901266,1333,0.25
1695901267,1337,0
1695901280,1385,0.5
1695901282,1392,0.200000003
1695901293,1436,0.25
1695901301,1466,0.25
1695901323,1552,0.25
1695901331,1584,0
1695901359,1691,1
1695901369,1734,0.333333343
1695901369,1737,1
1695901397,1844,0.200000003
1695901406,1877,0
1695901416,1917,0
1695901424,1947,0.400000006
1695901446,2036,0.25
1695901462,2096,0.5
1695901483,2187,0.400000006
1695901486,2199,0.25
1695901494,2231,0.5
1695901501,2262,0.200000003
1695901511,2307,0.75
1695901531,2389,0.5
1695901542,2436,0.400000006
1695901546,2453,0.333333343
1695901547,2455,0.800000012
1695901548,2460,0.600000024
1695901554,2485,0.200000003
1695901554,2486,0.333333343
1695901557,2498,0.800000012
1695901558,2503,0.666666687
1695901565,2532,0.400000006
1695901606,2685,0.600000024
1695901622,2740,0.666666687
1695901684,2967,0.5
1695901703,3038,0.600000024
1695901704,3041,0
1695901733,3161,0.400000006
1695901750,3230,0.800000012
1695901754,3246,0.666666687
1695901755,3247,0.75
1695901769,3305,0.5
1695901805,3480,0.800000012
1695901838,3618,0.5
1695901838,3620,0.333333343
1695901849,3670,0.75
1695901864,3741,0.5
1695901880,3814,0.75
1695901882,3821,0.75
1695901904,3928,0.400000006
1695901910,3956,0.800000012
1695901926,4036,0.25
1695901940,4098,0.333333343
1695901960,4196,0.75
1695901969,4232,0.75
1695901987,4317,0.800000012
1695902005,4400,0.333333343
1695902023,4492,0.666666687
1695902027,4509,1
1695902032,4530,0.800000012
1695902060,4664,1
1695902061,4668,0.600000024
1695902063,4676,0.400000006
1695902087,4788,0.400000006
1695902090,4802,0.5
1695902100,4840,0.800000012
1695902111,4894,0.75
1695902129,4971,0.666666687
1695902149,5050,0.666666687
1695902150,5052,0.75
1695902164,5106,1
1695902172,5134,0.666666687
1695902224,5345,0.600000024
1695902227,5359,0.75
1695902241,5420,0.600000024
1695902272,5549,0.5
1695902302,5679,0.75
1695902314,5723,0.800000012
1695902334,5808,0.800000012
1695902348,5864,0.666666687
1695902349,5871,0.5
1695902357,5907,0.75
1695902376,5990,1
1695902409,6131,0.800000012
1695902426,6200,0.5
1695902430,6219,0.600000024
1695902446,6289,0.600000024
1695902452,6312,0.5
1695902467,6376,0.75
1695902502,6520,0.800000012
1695902514,6574,1
1695902521,6603,1
1695902544,6696,0.5
1695902544,6699,0.600000024
1695902547,6711,0.75
1695902579,6854,0.666666687
1695902605,6966,0.5
1695902612,6992,0.666666687
1695902641,7114,0.600000024
1695902651,7155,0.75
1695902688,7311,0.800000012
1695902705,7382,1
1695902724,7450,0.600000024
1695902726,7460,0.666666687
1695902727,7463,0.75
1695902731,7478,0.600000024
1695902739,7511,0.600000024
1695902782,7693,0.5
1695902804,7788,0.75
1695902806,7798,0.333333343
1695902815,7833,0.800000012
1695902852,7991,0.600000024
1695902869,8066,0.75
1695902895,8180,1
1695902905,8221,1
1695902943,8363,1
1695902944,8368,0.5
1695902946,8377,0.75
1695902968,8470,0.75
1695902975,8498,0.800000012
1695902977,8508,1
1695902998,8601,0.800000012
1695903006,8635,0.800000012
1695903021,8695,0.800000012
1695903066,8878,0.333333343
1695903074,8907,0.666666687
1695903079,8928,0.800000012
1695903080,8935,0.666666687
1695903094,8993,0.75
1695903110,9055,1
1695903160,9260,0.600000024
1695903174,9316,0.800000012
1695903182,9348,0.800000012
1695903204,9435,0.5
1695903212,9468,0.5
1695903232,9554,1
1695903235,9567,0.5
