Wall time,Step,Value
1695978980.478198,42,0.0
1695978980.5207,45,0.0
1695978980.904787,71,0.0
1695978981.295688,94,0.0
1695978994.958425,167,-10.978784561157227
1695979012.714896,229,-12.940618515014648
1695979013.948775,234,-13.414606094360352
1695979019.033223,255,-13.679872512817383
1695979023.929565,273,-13.948867797851562
1695979030.426253,308,-14.483575820922852
1695979030.890845,310,-14.559884071350098
1695979032.556966,318,-15.594313621520996
1695979072.296033,474,-24.68917465209961
1695979091.425848,536,-29.42238998413086
1695979105.084444,579,-32.13978576660156
1695979107.535221,586,-31.606143951416016
1695979127.544392,634,-31.496721267700195
1695979135.017109,647,-29.325469970703125
1695979178.554722,714,-16.085220336914062
1695979182.828217,722,-18.173320770263672
1695979228.267279,802,-26.028352737426758
1695979231.791793,808,-19.960458755493164
1695979250.028435,836,-13.365955352783203
1695979327.536187,971,-8.869194030761719
1695979350.914812,1014,-6.07096004486084
1695979379.458462,1066,-3.2272744178771973
1695979400.408946,1104,-2.560059070587158
1695979443.18554,1180,3.0829267501831055
1695979484.638405,1261,5.85544490814209
1695979510.575351,1316,7.425302982330322
1695979512.101168,1319,3.657144069671631
1695979519.231423,1333,2.9431374073028564
1695979521.741772,1337,0.5029147863388062
1695979545.722027,1385,9.229372024536133
1695979548.186736,1392,3.377345085144043
1695979569.893008,1436,2.9038333892822266
1695979584.688402,1466,8.791409492492676
1695979625.350116,1552,6.666928291320801
1695979642.148139,1584,3.9896762371063232
1695979690.072077,1691,-0.18529999256134033
1695979712.049859,1734,4.339156627655029
1695979713.297752,1737,4.222164154052734
1695979759.60287,1844,2.5270426273345947
1695979773.047668,1877,6.565739154815674
1695979789.822579,1917,6.072595596313477
1695979804.385378,1947,5.952625751495361
1695979839.917521,2036,3.212275981903076
1695979862.229139,2096,4.341263771057129
1695979903.035767,2187,3.360215187072754
1695979907.540913,2199,4.960254669189453
1695979921.419392,2231,3.020021915435791
1695979935.792746,2262,3.4650769233703613
1695979954.458727,2307,3.7699296474456787
1695979987.033745,2389,4.898029327392578
1695980008.365897,2436,1.392207384109497
1695980015.891167,2453,0.7031242251396179
1695980016.747442,2455,4.488171577453613
1695980019.491082,2460,0.20341622829437256
1695980030.5249,2485,0.8794059753417969
1695980030.81121,2486,1.3695807456970215
1695980036.358319,2498,2.3862342834472656
1695980038.636789,2503,2.411750316619873
1695980052.265574,2532,2.876615524291992
1695980126.989676,2685,2.1080074310302734
1695980154.035628,2740,-1.7839648723602295
1695980259.355199,2967,-0.6997045278549194
1695980295.740756,3038,-0.831903874874115
1695980297.001253,3041,-2.2549452781677246
1695980353.532113,3161,-3.3643643856048584
1695980387.157877,3230,-1.3849804401397705
1695980395.460315,3246,-1.558749794960022
1695980396.480779,3247,-0.870338499546051
1695980427.618317,3305,-2.6194090843200684
1695980511.904654,3480,-3.685184955596924
1695980577.777845,3618,-6.04915714263916
1695980578.611225,3620,-4.700047969818115
1695980601.975449,3670,-5.49014139175415
1695980635.806818,3741,-5.621898651123047
1695980670.021665,3814,-5.268305778503418
1695980672.555814,3821,-5.996691703796387
1695980721.490927,3928,-6.733397960662842
1695980734.004132,3956,-6.388914585113525
1695980771.273051,4036,-6.720314025878906
1695980799.569969,4098,-9.50432014465332
1695980846.661399,4196,-6.10938835144043
1695980865.102014,4232,-5.754592418670654
1695980905.251455,4317,-7.647269248962402
1695980948.760258,4400,-6.161626815795898
1695980995.471919,4492,-8.623517990112305
1695981003.491979,4509,-7.526081085205078
1695981014.309789,4530,-9.873147964477539
1695981079.026756,4664,-9.657230377197266
1695981081.631192,4668,-7.618374824523926
1695981085.568425,4676,-9.633220672607422
1695981141.038246,4788,-10.066058158874512
1695981148.84226,4802,-8.923015594482422
1695981165.303914,4840,-9.30008602142334
1695981190.643211,4894,-9.217494010925293
1695981225.854918,4971,-11.902721405029297
1695981259.961562,5050,-9.013050079345703
1695981260.816707,5052,-10.13858699798584
1695981286.208688,5106,-11.2517671585083
1695981301.39421,5134,-9.9610595703125
1695981404.369356,5345,-13.06889820098877
1695981410.126018,5359,-13.435758590698242
1695981438.046117,5420,-11.299224853515625
1695981505.374729,5549,-11.533611297607422
1695981571.098295,5679,-14.439058303833008
1695981594.398199,5723,-12.797026634216309
1695981640.051207,5808,-13.496057510375977
1695981668.323635,5864,-13.700774192810059
1695981671.990995,5871,-13.636903762817383
1695981690.753476,5907,-12.196704864501953
1695981730.988167,5990,-12.235647201538086
1695981801.369143,6131,-13.51567554473877
1695981832.699907,6200,-13.930854797363281
1695981841.717403,6219,-13.13643741607666
1695981874.305249,6289,-15.875622749328613
1695981885.364165,6312,-14.237845420837402
1695981913.776518,6376,-13.942094802856445
1695981979.289772,6520,-16.91727066040039
1695982005.71189,6574,-16.24871253967285
1695982017.87314,6603,-15.319109916687012
1695982059.17123,6696,-15.747440338134766
1695982060.334121,6699,-15.754677772521973
1695982066.526718,6711,-14.095541000366211
1695982132.202478,6854,-16.28455924987793
1695982183.819083,6966,-18.58570098876953
1695982196.768133,6992,-16.574199676513672
1695982257.197342,7114,-15.774405479431152
1695982276.365937,7155,-17.591655731201172
1695982347.313553,7311,-19.5062255859375
1695982379.771272,7382,-17.99687957763672
1695982411.217927,7450,-17.192790985107422
1695982415.979959,7460,-18.706317901611328
1695982417.280557,7463,-17.904598236083984
1695982424.885553,7478,-20.20659828186035
1695982441.441621,7511,-19.826961517333984
1695982520.357998,7693,-19.889604568481445
1695982562.831846,7788,-17.384719848632812
1695982566.923934,7798,-20.033432006835938
1695982583.748427,7833,-19.556060791015625
1695982654.998042,7991,-19.9683895111084
1695982692.401101,8066,-19.701358795166016
1695982746.358672,8180,-20.286239624023438
1695982763.787729,8221,-22.12006378173828
1695982828.660468,8363,-20.035890579223633
1695982830.998099,8368,-21.677480697631836
1695982835.58126,8377,-22.831153869628906
1695982880.152241,8470,-22.204994201660156
1695982892.205945,8498,-22.618257522583008
1695982897.615359,8508,-23.595983505249023
1695982943.007506,8601,-22.68633270263672
1695982960.2898,8635,-22.486366271972656
1695982989.844444,8695,-22.120792388916016
1695983069.470854,8878,-24.64421844482422
1695983082.592504,8907,-21.586668014526367
1695983093.302052,8928,-24.97381591796875
1695983096.881709,8935,-21.241050720214844
1695983121.963864,8993,-23.323596954345703
1695983150.244967,9055,-23.708526611328125
1695983239.679157,9260,-23.10391616821289
1695983263.337612,9316,-20.689712524414062
1695983277.407906,9348,-22.095623016357422
1695983315.523189,9435,-20.282947540283203
1695983329.883907,9468,-21.093727111816406
1695983366.240342,9554,-23.541278839111328
1695983372.642426,9567,-24.603939056396484
1695983412.464489,9657,-22.287841796875
1695983422.363081,9680,-23.970735549926758
1695983431.124212,9698,-25.76825714111328
1695983497.852762,9843,-22.766725540161133
1695983529.016376,9907,-24.077829360961914
1695983594.17525,10058,-24.38762855529785
1695983606.24911,10084,-23.149539947509766
1695983698.320072,10276,-26.161378860473633
1695983701.933317,10283,-25.125411987304688
1695983754.008887,10399,-21.526958465576172
1695983790.493535,10479,-24.057191848754883
1695983807.080059,10522,-25.704692840576172
1695983847.755347,10607,-27.60158920288086
