Wall time,Step,Value
1696219607,42,0.5
1696219610,45,0.5
1696219615,71,0
1696219619,94,0
1696219634,167,0
1696219647,229,0.5
1696219648,234,0.25
1696219652,255,0.25
1696219656,273,0
1696219664,308,0.200000003
1696219664,310,0.200000003
1696219666,318,0.200000003
1696219696,474,0
1696219708,536,0
1696219718,579,0.5
1696219720,586,0.25
1696219731,634,0
1696219734,647,0
1696219748,714,0.333333343
1696219750,722,0
1696219767,802,0.200000003
1696219768,808,0.25
1696219774,836,0.25
1696219802,971,0.600000024
1696219810,1014,0.200000003
1696219821,1066,0.25
1696219829,1104,0
1696219846,1180,0.25
1696219864,1261,0.333333343
1696219875,1316,0.200000003
1696219876,1319,0.200000003
1696219878,1333,0.5
1696219879,1337,0.25
1696219888,1385,0.25
1696219889,1392,0.25
1696219898,1436,0.25
1696219904,1466,0.25
1696219921,1552,0.25
1696219928,1584,0.25
1696219952,1691,0.200000003
1696219961,1734,0.666666687
1696219961,1737,0.200000003
1696219982,1844,0.200000003
1696219988,1877,0.25
1696219997,1917,0.200000003
1696220003,1947,0.333333343
1696220020,2036,0
1696220033,2096,0
1696220052,2187,0.25
1696220054,2199,0.400000006
1696220061,2231,0
1696220068,2262,0.333333343
1696220077,2307,0
1696220094,2389,0
1696220103,2436,0.200000003
1696220106,2453,0.333333343
1696220106,2455,0.200000003
1696220107,2460,0
1696220112,2485,0
1696220113,2486,0
1696220116,2498,0.25
1696220117,2503,0
1696220123,2532,0.400000006
1696220156,2685,0.200000003
1696220169,2740,0.25
1696220218,2967,0.200000003
1696220231,3038,0.25
1696220232,3041,0
1696220255,3161,0.333333343
1696220269,3230,0.200000003
1696220272,3246,0.666666687
1696220272,3247,0.400000006
1696220284,3305,0.5
1696220320,3480,0.200000003
1696220352,3618,0.200000003
1696220353,3620,0.5
1696220364,3670,0.25
1696220379,3741,0.25
1696220394,3814,0
1696220396,3821,0.400000006
1696220420,3928,0
1696220428,3956,0.5
1696220447,4036,0.5
1696220460,4098,0
1696220484,4196,0.25
1696220492,4232,0.25
1696220509,4317,0.666666687
1696220525,4400,0.25
1696220542,4492,0.25
1696220545,4509,0
1696220550,4530,0.200000003
1696220576,4664,0
1696220576,4668,0
1696220578,4676,0.200000003
1696220600,4788,0.25
1696220603,4802,0.333333343
1696220610,4840,0.200000003
1696220620,4894,0.400000006
1696220634,4971,0.25
1696220648,5050,0
1696220648,5052,0
1696220657,5106,0.200000003
1696220662,5134,0.25
1696220700,5345,0.5
1696220702,5359,0
1696220713,5420,0.200000003
1696220738,5549,0
1696220764,5679,0
1696220774,5723,0.600000024
1696220792,5808,0.400000006
1696220824,5864,0.5
1696220826,5871,0.5
1696220834,5907,0.400000006
1696220852,5990,0.25
1696220877,6131,0
1696220890,6200,0.5
1696220893,6219,0.400000006
1696220905,6289,0.5
1696220909,6312,0.25
1696220920,6376,0
1696220949,6520,0.25
1696220960,6574,0
1696220965,6603,0.666666687
1696220986,6696,0.75
1696220987,6699,0.333333343
1696220990,6711,0
1696221018,6854,0.75
1696221039,6966,0.5
1696221044,6992,0
1696221066,7114,0.5
