Wall time,Step,Value
1696219607,42,-1.806438327
1696219610,45,-2.305898279
1696219615,71,-2.74942255
1696219619,94,-2.31348443
1696219634,167,-2.127166867
1696219647,229,-1.539347291
1696219648,234,-1.050909162
1696219652,255,-0.212552533
1696219656,273,-1.221562147
1696219664,308,-2.987507582
1696219664,310,-1.053204417
1696219666,318,0.196210191
1696219696,474,-2.705161333
1696219708,536,-2.198395491
1696219718,579,1.819205999
1696219720,586,-1.676999331
1696219731,634,-3.320201159
1696219734,647,-1.871850729
1696219748,714,-1.648449779
1696219750,722,-2.705262661
1696219767,802,-1.132517099
1696219768,808,0.026777731
1696219774,836,-0.130560279
1696219802,971,2.483665228
1696219810,1014,-0.516600013
1696219821,1066,-1.911316276
1696219829,1104,-1.660697222
1696219846,1180,-0.022548404
1696219864,1261,0.260718584
1696219875,1316,-0.486123443
1696219876,1319,-0.43992728
1696219878,1333,1.926119089
1696219879,1337,-1.247584224
1696219888,1385,-0.247788593
1696219889,1392,0.268950373
1696219898,1436,-0.891875684
1696219904,1466,-0.315995395
1696219921,1552,-1.019153476
1696219928,1584,-1.127560973
1696219952,1691,-0.868049324
1696219961,1734,2.792991877
1696219961,1737,-0.992843747
1696219982,1844,-0.758178353
1696219988,1877,-0.359879613
1696219997,1917,-0.957320273
1696220003,1947,0.933871746
1696220020,2036,-1.962383747
1696220033,2096,-1.994633794
1696220052,2187,-0.512737691
1696220054,2199,-0.320162356
1696220061,2231,-1.975509167
1696220068,2262,-0.004305126
1696220077,2307,-2.324447393
1696220094,2389,-2.21117115
1696220103,2436,-0.704352319
1696220106,2453,-1.213225484
1696220106,2455,-0.703131497
1696220107,2460,-2.207013607
1696220112,2485,-2.616996765
1696220113,2486,-2.236920834
1696220116,2498,-1.049836516
1696220117,2503,-2.817684412
1696220123,2532,0.745000362
1696220156,2685,-0.319560289
1696220169,2740,-0.816720247
1696220218,2967,-0.441446513
1696220231,3038,-0.601827443
1696220232,3041,-2.177985668
1696220255,3161,-0.709412158
1696220269,3230,-1.08302474
1696220272,3246,3.03472209
1696220272,3247,0.736780465
1696220284,3305,2.145480633
1696220320,3480,-0.79538238
1696220352,3618,-0.69372189
1696220353,3620,0.178302646
1696220364,3670,-0.750886917
1696220379,3741,-0.158419117
1696220394,3814,-1.748888016
1696220396,3821,0.205266222
1696220420,3928,-1.633014679
1696220428,3956,0.207591712
1696220447,4036,-0.432081878
1696220460,4098,-2.807638407
1696220484,4196,-1.09153986
1696220492,4232,-1.137186885
1696220509,4317,0.298904091
1696220525,4400,0.310843945
1696220542,4492,-0.782029808
1696220545,4509,-1.043532014
1696220550,4530,-0.853260815
1696220576,4664,-1.982601047
1696220576,4668,-2.984852314
1696220578,4676,-0.638262808
1696220600,4788,-1.199592113
1696220603,4802,-2.146611452
1696220610,4840,-0.711634815
1696220620,4894,0.811245441
1696220634,4971,-1.321225762
1696220648,5050,-2.338930368
1696220648,5052,-0.76935786
1696220657,5106,-2.047578096
1696220662,5134,-2.189571142
1696220700,5345,1.114402771
1696220702,5359,-2.184141874
1696220713,5420,-1.050667048
1696220738,5549,-2.27477622
1696220764,5679,-1.009432077
1696220774,5723,2.194583416
1696220792,5808,0.055335458
1696220824,5864,0.808523118
1696220826,5871,1.13249588
1696220834,5907,-0.142398879
1696220852,5990,-0.346881837
1696220877,6131,-2.768132687
1696220890,6200,1.668236017
1696220893,6219,0.015262887
1696220905,6289,1.504916787
1696220909,6312,-0.49082607
1696220920,6376,-2.144467592
1696220949,6520,-0.785257101
1696220960,6574,-2.711930513
1696220965,6603,2.152238846
1696220986,6696,2.952301264
1696220987,6699,0.40514189
