Wall time,Step,Value
1696239167,42,0.25
1696239167,45,0.2
1696239167,71,1
1696239167,94,0.25
1696239168,167,0.400000006
1696239168,229,0.5
1696239168,234,0.400000006
1696239168,255,0.2
1696239169,273,0.200000003
1696239169,308,0.666666687
1696239169,310,0.25
1696239169,318,0.25
1696239170,474,0.2
1696239171,536,0.400000006
1696239171,579,0.25
1696239171,586,0.400000006
1696239172,634,0.75
1696239172,647,1
1696239172,714,0.400000006
1696239172,722,0.400000006
1696239173,802,0.400000006
1696239173,808,0.200000003
1696239173,836,0.5
1696239174,971,0.333333343
1696239175,1014,0.2
1696239175,1066,0.400000006
1696239175,1104,0.5
1696239176,1180,0.75
1696239177,1261,0.333333343
1696239178,1316,0.2
1696239178,1319,0.200000003
1696239178,1333,0.200000003
1696239178,1337,0.25
1696239178,1385,0.400000006
1696239178,1392,0.400000006
1696239179,1436,0.25
1696239179,1466,0.2
1696239180,1552,0.2
1696239180,1584,0.25
1696239181,1691,0.5
1696239182,1734,0.400000006
1696239182,1737,0.2
1696239183,1844,0.75
1696239183,1877,0.5
1696239183,1917,0.25
1696239183,1947,0.200000003
1696239184,2036,0.400000006
1696239185,2096,0.666666687
1696239186,2187,0.5
1696239186,2199,0.2
1696239186,2231,0.25
1696239186,2262,0.25
1696239187,2307,0.400000006
1696239187,2389,0.600000024
1696239188,2436,0.25
1696239188,2453,0.75
1696239188,2455,0.400000006
1696239188,2460,0.2
1696239188,2485,0.400000006
1696239188,2486,0.25
1696239189,2498,0.25
1696239189,2503,0.800000012
1696239189,2532,0.2
1696239190,2685,0.25
1696239191,2740,0.666666687
1696239192,2967,0.2
1696239193,3038,0.200000003
1696239193,3041,0.2
1696239194,3161,0.2
1696239194,3230,0.5
1696239195,3246,0.333333343
1696239195,3247,0.25
1696239195,3305,0.333333343
1696239196,3480,0.25
1696239197,3618,0.200000003
1696239197,3620,0.25
1696239198,3670,0.600000024
1696239198,3741,0.2
1696239199,3814,0.25
1696239199,3821,0.2
1696239200,3928,0.200000003
1696239200,3956,0.200000003
1696239200,4036,0.25
1696239201,4098,0.5
1696239202,4196,0.25
1696239202,4232,0.75
1696239203,4317,0.333333343
1696239203,4400,0.333333343
1696239204,4492,0.666666687
1696239204,4509,0.75
1696239204,4530,0.400000006
1696239205,4664,0.5
1696239205,4668,0.800000012
1696239206,4676,0.666666687
1696239206,4788,0.2
1696239207,4802,0.5
1696239207,4840,0.600000024
1696239207,4894,0.333333343
1696239208,4971,0.333333343
1696239209,5050,0.333333343
1696239209,5052,0.2
