Wall time,Step,Value
1696382521.651181,42,31.0
1696382522.548239,45,38.0
1696382531.158234,71,30.0
1696382538.855402,94,29.0
1696382561.917594,167,45.0
1696382580.241592,229,22.0
1696382581.875201,234,37.0
1696382588.302093,255,42.0
1696382593.917466,273,43.0
1696382605.376028,308,43.0
1696382605.954468,310,20.0
1696382608.325103,318,23.0
1696382657.046261,474,42.0
1696382676.387167,536,33.0
1696382689.742249,579,29.0
1696382692.076385,586,42.0
1696382707.292959,634,28.0
1696382711.223728,647,28.0
1696382731.637409,714,31.0
1696382733.95274,722,31.0
1696382758.625626,802,40.0
1696382760.153953,808,31.0
1696382768.934,836,40.0
1696382809.70265,971,27.0
1696382823.463465,1014,39.0
1696382840.441225,1066,44.0
1696382851.937452,1104,31.0
1696382875.302582,1180,30.0
1696382900.124098,1261,37.0
1696382915.515233,1316,30.0
1696382916.424179,1319,36.0
1696382920.692164,1333,38.0
1696382921.822313,1337,43.0
1696382936.650013,1385,43.0
1696382938.667562,1392,27.0
1696382952.27648,1436,30.0
1696382961.278442,1466,29.0
1696382988.26956,1552,38.0
1696382998.517221,1584,28.0
1696383032.127364,1691,36.0
1696383045.026541,1734,33.0
1696383045.676851,1737,19.0
1696383079.017895,1844,29.0
1696383088.904592,1877,20.0
1696383101.318814,1917,32.0
1696383110.419255,1947,18.0
1696383137.961936,2036,30.0
1696383156.450707,2096,42.0
1696383184.181572,2187,33.0
1696383188.10045,2199,44.0
1696383197.3231,2231,45.0
1696383206.900312,2262,37.0
1696383220.95289,2307,40.0
1696383246.406629,2389,37.0
1696383260.515725,2436,44.0
1696383265.277389,2453,42.0
1696383265.916657,2455,26.0
1696383267.394688,2460,28.0
1696383274.641692,2485,24.0
1696383275.065122,2486,45.0
1696383278.966236,2498,37.0
1696383280.679167,2503,32.0
1696383290.00694,2532,27.0
1696383336.674187,2685,23.0
1696383352.523473,2740,25.0
1696383422.913515,2967,36.0
1696383446.999805,3038,38.0
1696383447.923967,3041,35.0
1696383489.100041,3161,41.0
1696383512.534807,3230,23.0
1696383517.59359,3246,31.0
1696383518.006202,3247,41.0
1696383538.543084,3305,41.0
1696383598.448881,3480,39.0
1696383644.501228,3618,27.0
1696383645.160975,3620,23.0
1696383661.144273,3670,23.0
1696383685.628793,3741,21.0
1696383711.516404,3814,26.0
1696383713.753707,3821,33.0
1696383749.840407,3928,29.0
1696383758.808774,3956,23.0
1696383787.23516,4036,43.0
1696383808.44896,4098,45.0
1696383842.511242,4196,17.0
1696383855.491374,4232,43.0
1696383883.774598,4317,38.0
1696383910.570586,4400,38.0
1696383941.527968,4492,44.0
1696383947.103669,4509,29.0
1696383954.47628,4530,35.0
1696383997.587267,4664,27.0
1696383998.600493,4668,10.0
1696384001.408321,4676,40.0
1696384038.449424,4788,24.0
1696384042.938732,4802,16.0
1696384054.883318,4840,44.0
1696384072.817167,4894,27.0
1696384097.725124,4971,26.0
1696384123.311833,5050,19.0
1696384123.959498,5052,21.0
1696384141.698058,5106,26.0
1696384150.447618,5134,36.0
1696384219.012908,5345,29.0
1696384223.218475,5359,18.0
1696384245.689259,5420,14.0
1696384288.3994,5549,32.0
1696384329.701204,5679,22.0
1696384343.588547,5723,30.0
1696384370.606161,5808,40.0
1696384390.186461,5864,12.0
1696384393.444765,5871,30.0
1696384404.514341,5907,33.0
1696384431.162213,5990,25.0
1696384482.998203,6131,25.0
1696384508.518919,6200,21.0
1696384514.276943,6219,20.0
1696384545.562388,6289,21.0
1696384570.525019,6312,29.0
1696384598.137588,6376,44.0
1696384650.155272,6520,21.0
1696384670.812594,6574,20.0
1696384683.403355,6603,23.0
1696384720.358586,6696,30.0
1696384721.645198,6699,26.0
1696384726.286462,6711,38.0
1696384790.273867,6854,37.0
1696384831.314321,6966,22.0
1696384842.781163,6992,39.0
1696384884.94168,7114,17.0
1696384901.063658,7155,17.0
1696384956.101482,7311,31.0
1696384978.42149,7382,27.0
1696385000.838657,7450,29.0
1696385004.603037,7460,39.0
1696385005.281114,7463,20.0
1696385010.921584,7478,20.0
1696385021.249383,7511,32.0
1696385078.698457,7693,45.0
1696385110.466281,7788,31.0
1696385115.186716,7798,15.0
1696385127.892914,7833,28.0
1696385180.438362,7991,30.0
1696385203.228832,8066,42.0
1696385242.355415,8180,23.0
1696385257.42704,8221,43.0
1696385299.034082,8363,27.0
1696385300.80179,8368,44.0
1696385303.336454,8377,20.0
1696385333.623404,8470,41.0
1696385343.842302,8498,19.0
1696385347.371241,8508,43.0
1696385375.686321,8601,9.0
1696385384.549955,8635,12.0
1696385403.704189,8695,33.0
1696385459.002704,8878,13.0
1696385467.450244,8907,25.0
1696385474.410467,8928,28.0
1696385476.036938,8935,24.0
1696385492.050407,8993,25.0
1696385512.786974,9055,28.0
1696385573.815591,9260,16.0
1696385590.934537,9316,29.0
1696385600.208686,9348,12.0
1696385625.477808,9435,20.0
1696385634.406844,9468,22.0
1696385660.632426,9554,23.0
1696385664.205558,9567,31.0
1696385693.191533,9657,22.0
1696385700.119413,9680,17.0
1696385705.712783,9698,35.0
1696385751.401747,9843,23.0
1696385768.786788,9907,29.0
1696385814.096834,10058,15.0
1696385822.256992,10084,19.0
1696385881.670792,10276,15.0
1696385883.739328,10283,15.0
1696385919.684791,10399,7.0
1696385940.313251,10479,7.0
1696385952.872141,10522,27.0
1696385976.923663,10607,45.0
1696385985.210662,10638,22.0
1696385989.427503,10654,17.0
1696386004.519863,10711,23.0
