Wall time,Step,Value
1696400687.149889,42,13.068807601928711
1696400687.919488,45,12.105546951293945
1696400696.142338,71,15.977179527282715
1696400702.825915,94,15.832013130187988
1696400724.025728,167,15.651836395263672
1696400742.28588,229,17.405311584472656
1696400743.827225,234,17.74486541748047
1696400749.89024,255,17.080997467041016
1696400754.381045,273,15.387266159057617
1696400764.977407,308,17.450878143310547
1696400765.510421,310,15.518200874328613
1696400767.610258,318,16.845340728759766
1696400811.820667,474,20.00656509399414
1696400830.149293,536,21.036853790283203
1696400842.161017,579,20.571413040161133
1696400843.914285,586,23.70532989501953
1696400857.805698,634,21.371675491333008
1696400861.332652,647,23.203758239746094
1696400880.676726,714,22.178356170654297
1696400883.179242,722,24.465707778930664
1696400904.281009,802,24.176265716552734
1696400905.977032,808,27.08344268798828
1696400913.660636,836,24.446861267089844
1696400953.385383,971,26.59278106689453
1696400965.382679,1014,26.96167755126953
1696400980.554499,1066,26.748130798339844
1696400991.656052,1104,27.403995513916016
1696401011.168676,1180,29.75728988647461
1696401034.260915,1261,29.280921936035156
1696401049.389334,1316,31.317956924438477
1696401050.353696,1319,27.998531341552734
1696401053.776407,1333,28.956409454345703
1696401055.019719,1337,28.62684440612793
1696401068.923104,1385,28.540634155273438
1696401070.954258,1392,29.591224670410156
1696401084.480102,1436,28.91343879699707
1696401093.329564,1466,28.35110092163086
1696401118.504429,1552,31.738317489624023
1696401127.861652,1584,29.53339385986328
1696401163.654789,1691,30.10092544555664
1696401176.414253,1734,31.185806274414062
1696401177.244626,1737,29.803258895874023
1696401207.401795,1844,31.256696701049805
1696401216.684264,1877,29.468265533447266
1696401226.770179,1917,30.688190460205078
1696401234.53366,1947,32.68064498901367
1696401256.850382,2036,31.35032844543457
1696401272.507548,2096,30.667804718017578
1696401300.559909,2187,29.880081176757812
1696401303.559404,2199,29.90093994140625
1696401313.143927,2231,30.37371063232422
1696401323.472379,2262,30.14519691467285
1696401341.731556,2307,29.900678634643555
1696401367.206869,2389,32.853546142578125
1696401380.522066,2436,30.742984771728516
1696401385.028514,2453,29.100608825683594
1696401385.349901,2455,29.44776153564453
1696401386.682635,2460,31.187198638916016
1696401396.331027,2485,29.792362213134766
1696401396.659987,2486,29.789262771606445
1696401401.044854,2498,31.378074645996094
1696401402.890655,2503,29.67626190185547
1696401411.848175,2532,31.248767852783203
1696401457.227338,2685,29.859954833984375
1696401474.124499,2740,28.93358612060547
1696401538.853897,2967,30.410442352294922
1696401559.122176,3038,28.328041076660156
1696401559.985988,3041,26.779102325439453
1696401596.292755,3161,27.370569229125977
1696401616.552829,3230,25.114654541015625
1696401621.406699,3246,30.03357696533203
1696401621.788916,3247,28.539945602416992
1696401637.693511,3305,27.803668975830078
1696401687.348861,3480,29.19841194152832
1696401727.262069,3618,29.110576629638672
1696401727.670648,3620,27.644859313964844
1696401742.514161,3670,28.1494140625
1696401762.296193,3741,26.191669464111328
1696401782.716573,3814,26.250473022460938
1696401784.164211,3821,26.375656127929688
1696401817.573505,3928,26.830890655517578
1696401828.713656,3956,26.034297943115234
1696401859.88973,4036,25.578157424926758
1696401884.827956,4098,26.59821319580078
1696401915.783282,4196,23.737567901611328
1696401926.159945,4232,26.183847427368164
1696401949.956196,4317,23.98863983154297
1696401970.797688,4400,23.043724060058594
1696401997.202,4492,22.946792602539062
1696402002.072326,4509,24.059911727905273
1696402007.539612,4530,23.27427101135254
1696402045.794496,4664,22.876277923583984
1696402046.989614,4668,23.164756774902344
1696402049.104662,4676,23.880016326904297
1696402077.507575,4788,25.476438522338867
1696402080.64099,4802,23.975421905517578
1696402090.602892,4840,25.411243438720703
1696402103.98808,4894,23.167652130126953
1696402123.95253,4971,22.676048278808594
1696402142.324466,5050,24.383995056152344
1696402143.706115,5052,24.594280242919922
1696402156.310777,5106,22.930706024169922
1696402163.801764,5134,21.140954971313477
1696402211.867073,5345,23.417694091796875
1696402215.240507,5359,21.00738525390625
1696402229.933759,5420,20.817089080810547
1696402258.992444,5549,20.83123779296875
1696402290.710884,5679,21.71042251586914
1696402300.924907,5723,20.898250579833984
1696402320.397831,5808,22.116252899169922
1696402331.731701,5864,23.16452980041504
1696402333.07287,5871,22.441680908203125
1696402341.138654,5907,23.58574867248535
1696402360.414641,5990,21.314008712768555
1696402393.264379,6131,18.970714569091797
1696402408.110596,6200,19.300518035888672
1696402412.639609,6219,17.123424530029297
1696402428.174397,6289,19.084022521972656
1696402432.948593,6312,18.39008331298828
1696402447.796865,6376,18.447795867919922
1696402482.337727,6520,19.405994415283203
1696402494.533591,6574,17.29448127746582
1696402499.711598,6603,17.706539154052734
1696402520.43752,6696,17.581523895263672
1696402520.85471,6699,19.700393676757812
1696402523.513221,6711,17.871257781982422
1696402554.237535,6854,17.75625228881836
1696402579.11582,6966,16.286670684814453
1696402584.709527,6992,16.129364013671875
1696402612.397516,7114,15.909561157226562
1696402621.873807,7155,13.806374549865723
1696402655.859047,7311,16.007570266723633
1696402671.406333,7382,18.311792373657227
1696402685.448866,7450,14.194005966186523
1696402687.158634,7460,15.633200645446777
1696402687.709384,7463,17.179576873779297
1696402691.225141,7478,14.81597900390625
1696402697.873712,7511,14.08862590789795
1696402735.697753,7693,15.416654586791992
1696402754.711399,7788,13.109254837036133
1696402756.695747,7798,15.580013275146484
1696402763.107303,7833,14.294254302978516
1696402796.829773,7991,14.918960571289062
1696402812.305365,8066,12.506263732910156
1696402836.566247,8180,14.554126739501953
1696402844.807455,8221,12.271076202392578
1696402872.998026,8363,13.539767265319824
1696402873.695006,8368,12.907402992248535
1696402875.434763,8377,15.203853607177734
1696402894.327873,8470,14.738903045654297
1696402900.718961,8498,12.65379810333252
1696402902.823216,8508,13.457613945007324
1696402922.657171,8601,14.063985824584961
1696402928.90795,8635,13.163865089416504
1696402939.707062,8695,12.601964950561523
1696402975.185471,8878,12.813026428222656
1696402981.260863,8907,13.310504913330078
1696402985.224114,8928,13.617560386657715
1696402986.49937,8935,13.744657516479492
1696402997.998799,8993,11.159185409545898
1696403010.256284,9055,9.560745239257812
1696403050.373732,9260,14.463892936706543
1696403060.615952,9316,14.552968978881836
1696403066.521034,9348,12.899678230285645
1696403083.203817,9435,11.269132614135742
1696403089.156902,9468,11.034805297851562
1696403105.420894,9554,11.528509140014648
1696403107.66631,9567,11.47488784790039
1696403123.155658,9657,13.547675132751465
1696403127.460834,9680,8.363516807556152
1696403130.683113,9698,11.029084205627441
1696403155.822946,9843,9.94586181640625
1696403167.188002,9907,10.527515411376953
1696403195.306192,10058,10.485252380371094
1696403199.227457,10084,11.241122245788574
1696403235.465083,10276,9.962896347045898
1696403236.595698,10283,9.990047454833984
1696403257.946671,10399,9.693623542785645
1696403272.163896,10479,11.34134292602539
1696403279.520785,10522,9.594731330871582
1696403293.663385,10607,8.017744064331055
1696403299.618662,10638,8.917598724365234
1696403303.134722,10654,6.500659942626953
1696403314.090065,10711,10.107620239257812
1696403322.261553,10757,10.159117698669434
1696403322.519732,10758,8.988014221191406
1696403326.352559,10780,8.532706260681152
1696403337.080967,10841,9.911957740783691
1696403338.578293,10850,9.065967559814453
1696403347.180887,10902,7.962649345397949
1696403347.666971,10905,8.140066146850586
1696403354.177053,10943,10.56509017944336
1696403358.178224,10966,6.514301300048828
1696403359.070511,10972,9.184833526611328
1696403359.293855,10974,9.290510177612305
1696403367.604128,11020,6.978135108947754
1696403383.12884,11102,8.708927154541016
1696403386.955848,11121,8.531001091003418
1696403388.696256,11130,7.980334281921387
1696403400.932131,11198,7.3018388748168945
1696403401.127738,11200,10.474285125732422
1696403412.18814,11260,8.943548202514648
1696403439.812488,11419,8.338491439819336
1696403449.139789,11472,6.694375991821289
1696403452.720861,11492,8.345952987670898
1696403458.017853,11523,8.743252754211426
1696403460.078069,11532,5.9284348487854
1696403466.597825,11566,5.236312389373779
1696403482.535644,11648,9.573887825012207
1696403490.704687,11685,6.9862961769104
1696403503.569442,11759,7.801593780517578
1696403523.898724,11873,6.898514747619629
1696403541.644431,11969,5.421415328979492
1696403542.713618,11974,7.3514838218688965
1696403549.070256,12010,7.469127655029297
1696403554.125025,12041,6.871133804321289
1696403572.446021,12138,6.612892150878906
1696403576.706807,12164,7.415351867675781
1696403580.634057,12184,7.80822229385376
1696403599.37494,12290,5.930704116821289
1696403619.621943,12405,7.412079811096191
1696403628.562605,12458,6.752132892608643
1696403667.37185,12671,5.8362884521484375
1696403705.876357,12877,7.213512420654297
1696403717.025254,12939,5.124063491821289
1696403731.993101,13017,5.633090019226074
1696403734.859835,13034,6.307769775390625
1696403740.105091,13061,5.40081787109375
1696403744.2081,13082,3.2949600219726562
1696403746.837846,13094,6.067601680755615
1696403749.177444,13109,5.385514259338379
1696403773.529881,13239,4.084747314453125
1696403804.037701,13402,4.649723052978516
1696403804.663154,13406,4.886600494384766
1696403824.901123,13504,4.827003479003906
1696403832.243724,13546,4.28714656829834
1696403841.202512,13597,4.483452320098877
1696403846.126286,13620,4.777675628662109
1696403856.144147,13679,5.377467155456543
1696403879.831671,13810,3.8257956504821777
1696403893.389394,13884,6.775999546051025
1696403930.450568,14080,2.5390923023223877
1696403956.243907,14221,1.878489375114441
1696403968.303495,14287,3.3569841384887695
1696403969.723385,14294,4.7660813331604
1696403973.818318,14320,3.960615634918213
1696403977.242981,14338,3.5417747497558594
1696403987.668173,14397,2.931121826171875
1696403996.51058,14447,3.10856032371521
1696404032.021497,14632,3.5030417442321777
1696404033.180273,14638,-0.03474828600883484
1696404039.898597,14668,2.3072519302368164
1696404041.69056,14677,1.377575159072876
1696404043.053811,14687,1.6079150438308716
1696404060.810473,14779,0.9664709568023682
1696404062.691785,14788,0.7327397465705872
1696404066.722925,14809,0.6746914386749268
1696404079.3902,14873,1.300154447555542
1696404083.168032,14892,0.629038393497467
1696404121.727697,15090,-0.13339892029762268
1696404139.255414,15180,0.5331055521965027
1696404156.223312,15266,0.9594422578811646
1696404168.497356,15324,-0.9398459792137146
1696404198.155979,15473,0.23064866662025452
1696404198.644318,15475,0.48845207691192627
1696404205.74622,15507,-0.19582581520080566
1696404211.097564,15538,-0.28746652603149414
1696404253.018981,15740,-0.9123058915138245
1696404258.10498,15764,-0.5008688569068909
1696404260.124305,15773,1.1877243518829346
1696404272.179756,15828,-1.5573382377624512
1696404304.863539,15993,-0.9226571917533875
1696404326.262186,16095,-1.8816354274749756
1696404330.438543,16116,-1.8303442001342773
1696404357.75597,16249,-1.2686517238616943
1696404371.896849,16321,-0.8134589195251465
1696404376.488095,16343,-2.193317413330078
1696404380.601521,16360,-2.259458065032959
1696404391.599175,16406,-1.448203206062317
1696404412.074793,16505,-2.266174793243408
1696404453.873952,16697,-2.583513021469116
1696404478.944605,16808,-1.8389253616333008
1696404479.021878,16809,-4.100099563598633
1696404489.213681,16857,-1.9519131183624268
1696404498.28464,16899,-2.896869421005249
1696404536.628003,17066,-1.7272818088531494
1696404544.059023,17097,-2.9195947647094727
1696404551.871835,17131,-3.599790096282959
1696404576.639317,17239,-3.2489333152770996
1696404583.950216,17272,-3.8906667232513428
1696404587.446566,17292,-3.736842632293701
1696404592.790383,17316,-1.7432143688201904
1696404592.937222,17317,-4.218672752380371
1696404593.583424,17320,-3.9693784713745117
1696404597.869906,17339,-2.759474277496338
1696404612.691383,17405,-3.3677985668182373
1696404621.684081,17444,-2.865224838256836
1696404624.371082,17454,-2.821098804473877
1696404641.565949,17543,-2.8445611000061035
1696404644.309825,17557,-5.4569091796875
1696404650.240396,17586,-2.5464558601379395
1696404651.969451,17594,-3.511481285095215
1696404658.868514,17623,-1.6397168636322021
1696404677.499245,17722,-3.435245990753174
1696404721.519216,17953,-4.203365325927734
1696404726.207014,17981,-3.754868507385254
1696404733.605962,18018,-3.0344791412353516
1696404740.321448,18053,-4.676251411437988
1696404742.52894,18065,-3.0497233867645264
1696404755.082762,18129,-6.261286735534668
1696404781.003189,18264,-2.816581964492798
1696404792.832673,18318,-4.164676189422607
1696404821.302974,18451,-4.89277458190918
1696404821.577421,18452,-5.910541534423828
1696404849.556783,18592,-5.867427349090576
1696404875.036591,18713,-4.3943915367126465
1696404876.156005,18720,-4.155673027038574
1696404903.307453,18845,-4.833909511566162
1696404926.683004,18958,-6.0613508224487305
1696404935.863382,19005,-4.827760696411133
1696404944.983666,19048,-5.467129707336426
1696404958.927597,19116,-4.346263885498047
1696404970.583506,19169,-4.618088722229004
1696404992.225021,19271,-6.014148712158203
1696405049.854512,19525,-5.83860445022583
1696405051.213378,19531,-5.449848651885986
1696405074.89132,19640,-5.733320236206055
1696405077.572037,19654,-4.955718517303467
1696405095.885488,19731,-6.425317764282227
1696405096.976267,19737,-5.3377227783203125
1696405116.52305,19823,-6.783239841461182
1696405122.056445,19846,-5.905815601348877
1696405137.351597,19916,-6.0628342628479
1696405142.096187,19938,-6.876335144042969
1696405149.609847,19971,-4.958909511566162
1696405155.292809,19995,-6.338920593261719
1696405163.90766,20035,-7.128017425537109
1696405168.23632,20053,-7.259070873260498
1696405169.70492,20059,-6.527744293212891
1696405170.55311,20062,-5.507981300354004
1696405187.0685,20138,-5.836989879608154
1696405187.231842,20139,-6.046624660491943
1696405197.687308,20186,-6.157612323760986
1696405204.9817,20217,-7.222771644592285
1696405210.946706,20244,-5.5767621994018555
1696405211.842316,20247,-6.0268707275390625
1696405213.12445,20252,-7.650010108947754
1696405229.146127,20323,-6.452155590057373
1696405231.603388,20334,-5.5113677978515625
1696405242.584713,20383,-7.250319957733154
1696405254.24122,20440,-5.710322856903076
1696405263.878052,20485,-5.429929256439209
1696405272.031335,20526,-6.554411888122559
1696405275.380008,20539,-5.803506374359131
1696405275.769936,20540,-6.975522041320801
1696405281.166775,20562,-6.795639991760254
1696405285.066119,20578,-6.670267581939697
1696405310.464725,20689,-6.487618446350098
1696405314.036131,20710,-6.353361129760742
1696405329.048824,20779,-4.640698432922363
1696405329.622989,20782,-8.129265785217285
1696405329.779306,20783,-4.926370143890381
1696405340.397021,20831,-6.861660957336426
1696405345.839195,20855,-6.637849807739258
1696405374.790976,20987,-6.322655200958252
1696405395.878203,21080,-6.809489727020264
1696405409.731134,21144,-5.415668487548828
1696405424.836105,21209,-6.865778923034668
1696405429.642426,21232,-6.116916656494141
1696405448.420629,21316,-7.193534851074219
1696405449.205122,21319,-5.978053092956543
1696405450.339374,21324,-7.303178787231445
1696405464.392947,21391,-6.959906101226807
1696405468.328105,21409,-8.248190879821777
1696405483.633771,21484,-6.3639445304870605
1696405491.84872,21523,-6.171687602996826
1696405526.401564,21681,-7.489701271057129
1696405535.672696,21724,-7.282077312469482
1696405552.597281,21795,-8.450495719909668
1696405558.430883,21821,-8.042671203613281
1696405563.719007,21842,-6.786282539367676
1696405564.91517,21848,-7.765968322753906
1696405600.084599,22006,-7.267633438110352
1696405651.737258,22245,-6.477227210998535
1696405654.345386,22258,-6.445672035217285
1696405662.31942,22292,-7.216281890869141
1696405671.365387,22330,-7.54996919631958
1696405677.341038,22358,-6.958127975463867
1696405701.328115,22472,-6.0376057624816895
1696405708.979299,22507,-5.8196539878845215
1696405717.012287,22544,-7.664508819580078
1696405736.45244,22635,-7.561164855957031
1696405764.47351,22765,-7.732804298400879
1696405780.632715,22840,-7.564427375793457
1696405800.655421,22930,-7.2404584884643555
1696405801.244717,22933,-7.852566719055176
1696405832.106065,23084,-6.543370246887207
1696405843.75809,23138,-7.340217113494873
1696405845.880469,23148,-6.593568325042725
1696405852.952103,23182,-7.981106281280518
1696405854.574159,23192,-8.421618461608887
1696405859.727743,23218,-7.961450576782227
1696405868.404601,23263,-7.088205337524414
1696405872.996852,23286,-7.0301103591918945
1696405889.708592,23361,-8.909719467163086
1696405893.829319,23380,-5.587611675262451
1696405903.993115,23427,-8.113395690917969
1696405926.800555,23540,-6.975597858428955
1696405936.816506,23589,-7.629927635192871
1696405952.759712,23670,-7.868922710418701
1696405954.768953,23681,-6.426231861114502
1696405958.619898,23701,-6.916582107543945
1696405971.451325,23774,-6.125013828277588
1696405984.187576,23831,-7.105996131896973
1696406007.745031,23938,-8.107952117919922
1696406036.781017,24079,-8.475173950195312
1696406045.626672,24118,-7.507532596588135
1696406051.33262,24147,-7.73234748840332
1696406071.473026,24234,-7.77704381942749
1696406081.632177,24282,-9.260723114013672
1696406081.989625,24284,-9.191112518310547
1696406089.941086,24322,-7.798038482666016
1696406094.775961,24345,-7.161685466766357
1696406110.528865,24416,-8.533390045166016
1696406140.870245,24557,-8.575773239135742
1696406153.087986,24621,-7.305830478668213
1696406173.38093,24719,-7.732207775115967
1696406174.920757,24727,-9.255691528320312
1696406213.225045,24901,-8.611421585083008
1696406221.578855,24934,-8.569936752319336
1696406237.314644,25008,-8.528334617614746
1696406246.467753,25047,-8.816673278808594
1696406264.686667,25133,-8.601566314697266
1696406284.773021,25231,-9.572145462036133
1696406287.571187,25244,-8.91362190246582
1696406289.357196,25253,-8.732678413391113
1696406306.275137,25332,-8.190628051757812
1696406318.605834,25391,-9.124740600585938
1696406343.523764,25505,-8.282730102539062
1696406347.050113,25520,-9.087736129760742
1696406364.046925,25599,-9.317577362060547
1696406383.453718,25686,-8.210996627807617
1696406411.477577,25812,-10.17772102355957
1696406419.146702,25847,-9.249059677124023
1696406436.112472,25921,-9.787651062011719
1696406463.160831,26045,-9.585619926452637
1696406467.511304,26066,-10.012189865112305
1696406472.451133,26091,-10.243292808532715
1696406487.628213,26155,-9.868568420410156
1696406490.753281,26169,-10.273174285888672
1696406517.27028,26292,-9.274412155151367
1696406519.643621,26303,-9.153902053833008
1696406540.701982,26403,-10.069291114807129
1696406555.550813,26470,-9.183076858520508
1696406597.76705,26670,-10.26049518585205
1696406625.635429,26797,-9.164191246032715
1696406625.833838,26798,-9.417190551757812
1696406632.427166,26827,-10.270576477050781
1696406632.84966,26829,-9.203225135803223
1696406655.740718,26928,-11.041351318359375
1696406704.867523,27142,-10.006145477294922
1696406706.621874,27148,-10.709480285644531
1696406708.098573,27154,-10.345621109008789
1696406708.839344,27158,-11.418169021606445
1696406708.938053,27159,-10.986274719238281
1696406734.301931,27274,-9.447998046875
1696406785.111704,27505,-10.941073417663574
1696406806.959514,27603,-11.63459587097168
1696406809.22539,27613,-11.066911697387695
1696406810.895173,27620,-11.506813049316406
1696406814.747883,27638,-12.363962173461914
1696406836.973598,27739,-9.345332145690918
1696406856.531648,27825,-10.081685066223145
1696406876.417515,27916,-12.1698637008667
1696406876.881127,27918,-9.73264217376709
1696406884.285829,27950,-11.943611145019531
1696406888.224552,27968,-11.792839050292969
1696406949.613487,28251,-10.656627655029297
1696406955.815365,28277,-10.12297248840332
1696406964.227999,28321,-11.185795783996582
1696406990.780051,28438,-12.288707733154297
1696406993.785153,28451,-11.744429588317871
