Wall time,Step,Value
1698568626,42,-3.057377338
1698568627,45,-2.870742083
1698568635,71,-2.560493946
1698568642,94,-1.773863316
1698568663,167,-1.715769053
1698568682,229,-0.769559681
1698568683,234,-2.099327326
1698568689,255,-2.427368402
1698568694,273,-2.238362312
1698568704,308,-1.36989975
1698568705,310,-2.567232609
1698568708,318,-3.275976419
1698568754,474,-2.985159159
1698568773,536,-2.893157959
1698568785,579,-1.853472829
1698568788,586,-3.189088345
1698568801,634,-0.820672691
1698568805,647,-1.409251809
1698568825,714,-3.258877277
1698568827,722,-1.811128736
1698568853,802,-3.225168705
1698568855,808,-1.065731645
1698568864,836,-2.770834208
1698568905,971,-3.060062885
1698568926,1014,-2.329887867
1698568946,1066,-0.90909183
1698568959,1104,-0.366482168
1698568984,1180,-1.978650928
1698569009,1261,-1.493709326
1698569026,1316,-2.89672184
1698569027,1319,-1.548805714
1698569031,1333,-1.95089519
1698569032,1337,-1.670150518
1698569047,1385,-0.56527704
1698569050,1392,-2.587361336
1698569063,1436,-1.615397096
1698569071,1466,-2.024348974
1698569099,1552,-1.540312767
1698569109,1584,1.657367706
1698569142,1691,-2.095962763
1698569156,1734,-1.557216048
1698569156,1737,-1.867511868
1698569192,1844,-2.230809927
1698569202,1877,-1.913659692
1698569214,1917,-1.434713125
1698569223,1947,-2.564961195
1698569251,2036,-1.681854486
1698569270,2096,-2.799546719
1698569297,2187,-2.611855507
1698569301,2199,-1.432755947
1698569311,2231,-2.105547667
1698569320,2262,-1.375072241
1698569334,2307,-2.30469346
1698569359,2389,-1.467211008
1698569373,2436,-1.717537642
1698569378,2453,-1.607326269
1698569379,2455,-2.174082756
1698569381,2460,-2.137253523
1698569388,2485,1.481564999
1698569389,2486,-0.35223186
1698569392,2498,-1.662082076
1698569394,2503,-0.368595928
1698569403,2532,-1.445992231
1698569447,2685,-1.040458441
1698569464,2740,-2.87046957
1698569528,2967,-1.104332566
1698569549,3038,-0.837609649
1698569550,3041,-1.843571901
1698569585,3161,-0.869387925
1698569604,3230,0.877358735
1698569608,3246,-1.535830855
1698569608,3247,-3.181746483
1698569626,3305,-2.419781446
1698569677,3480,-2.185870886
1698569715,3618,-1.908221245
1698569715,3620,-0.846701682
1698569730,3670,1.268449664
1698569750,3741,-0.359846026
1698569770,3814,2.71461606
1698569772,3821,-1.093566418
1698569801,3928,-0.517238021
1698569809,3956,0.684863985
1698569830,4036,1.294369459
1698569846,4098,0.620465338
1698569872,4196,-1.408993483
1698569882,4232,-0.682788491
1698569904,4317,0.814034343
1698569923,4400,-2.784856558
1698569946,4492,-0.086683966
1698569950,4509,-0.684612095
1698569955,4530,0.5451563
1698569989,4664,1.134026647
1698569990,4668,1.919795394
1698569993,4676,-2.817810535
1698570019,4788,-1.920014381
1698570022,4802,-1.333904743
1698570032,4840,0.579500675
1698570044,4894,0.390184104
1698570061,4971,-3.171255589
1698570079,5050,1.177481532
